Student ID,Fake Profile,Time Spent,"Password Security","Enable Security","Sharing Location","Accept Unknown","Number of Friends",Number of Groups,"Click on Unknown Link"
Student 331,1,3,1,1,1,3,5,4,4
Student 332,1,2,3,2,4,4,2,2,4
Student 333,1,3,2,1,3,5,4,1,5
Student 334,1,3,1,1,4,4,4,2,5
Student 335,1,3,1,2,4,3,5,1,2
Student 336,1,2,4,1,5,4,2,1,5
Student 337,2,3,2,2,3,4,5,2,5
Student 338,1,2,1,1,5,4,3,2,3
Student 339,2,3,2,1,3,5,5,2,3
Student 340,1,3,2,1,4,5,3,1,5
Student 341,2,2,2,1,4,5,2,1,2
Student 342,1,2,1,1,4,5,2,1,5
Student 343,1,2,1,3,3,3,2,1,5
Student 344,1,3,1,2,3,5,5,2,4
Student 345,1,2,1,1,5,5,1,1,5
Student 346,1,2,1,2,3,4,3,2,5
Student 347,1,2,2,1,5,5,2,1,4
Student 348,1,2,3,3,5,5,2,1,5
Student 349,2,3,3,1,4,3,2,1,5
Student 350,1,2,1,1,5,5,1,1,3
Student 351,1,2,1,1,4,5,3,2,5
Student 352,1,5,2,2,4,4,5,5,4
Student 353,1,2,1,1,5,4,1,2,5
Student 354,1,2,3,3,4,2,5,1,5
Student 355,1,3,2,2,4,1,5,2,5
Student 356,2,3,1,1,3,4,5,3,5
Student 357,1,3,2,2,4,3,5,2,4
Student 358,1,3,3,2,3,5,5,2,4
Student 359,1,3,2,2,3,4,5,1,5
Student 360,3,2,2,2,3,3,2,2,4
Student 361,1,2,2,1,5,4,5,3,5
Student 362,2,2,2,2,2,3,5,1,4
Student 363,1,3,4,2,4,3,5,5,4
Student 364,1,2,2,1,4,4,5,3,4
Student 365,1,2,1,2,4,3,4,1,5
Student 366,1,3,2,2,4,5,3,3,4
Student 367,2,3,2,3,2,3,2,1,4
Student 368,1,2,2,2,4,4,4,5,5
Student 369,1,4,2,2,1,4,5,1,5
Student 370,2,2,2,2,4,3,4,1,3
Student 371,1,2,1,1,4,5,5,3,5
Student 372,1,2,2,2,4,4,3,1,5
Student 373,1,2,1,3,2,3,2,1,4
Student 374,5,2,3,2,4,5,1,1,5
Student 375,1,3,2,2,4,5,1,4,4
Student 376,1,1,4,1,5,5,1,1,5
Student 377,1,2,3,2,5,5,1,1,5
Student 378,2,3,2,2,4,3,5,3,5
Student 379,3,3,3,2,4,4,3,3,4
Student 380,1,3,2,3,4,4,4,2,5
Student 381,1,2,1,1,3,3,1,2,5
Student 382,1,4,1,1,1,5,2,1,5
Student 383,1,4,1,1,4,3,5,2,4
Student 384,2,3,2,5,1,5,2,1,5
Student 385,1,2,4,1,5,5,5,2,4
Student 386,1,2,2,1,5,5,2,1,5
Student 387,2,3,2,3,3,4,4,3,3
Student 388,1,2,2,2,4,5,4,2,5
Student 389,1,3,2,4,2,2,2,1,4
Student 390,1,2,2,2,4,4,5,5,4
Student 391,2,4,2,4,3,4,5,2,4
Student 392,1,3,1,2,4,3,4,2,5
Student 393,1,2,1,1,3,3,5,3,4
Student 394,1,3,1,1,5,5,2,1,5
Student 395,1,3,1,1,4,3,5,2,4
Student 396,3,3,4,1,3,2,5,2,5
Student 397,1,3,2,1,3,3,3,1,5
Student 398,1,3,1,2,3,5,4,2,5
Student 399,1,3,1,1,4,5,4,3,4
Student 400,1,5,1,1,5,3,5,1,3
Student 401,2,2,2,1,3,5,2,1,5
Student 402,1,3,3,1,1,4,5,2,5
Student 403,1,3,1,1,3,4,5,2,5
Student 404,1,3,2,1,4,4,1,2,5
Student 405,2,3,1,2,4,3,3,2,4
Student 406,2,2,3,1,4,3,5,1,4
Student 407,1,2,2,2,2,5,1,1,5
Student 408,1,3,4,1,3,4,5,2,3
Student 409,3,3,2,2,3,3,5,3,4
Student 410,2,2,4,1,4,4,2,1,5
Student 411,1,3,2,1,4,4,1,1,5
Student 412,1,3,2,2,4,4,5,2,4
Student 413,1,2,2,2,4,5,5,2,5
Student 414,1,3,2,1,4,4,4,2,5
Student 415,1,2,3,2,4,3,2,1,5
Student 416,1,2,3,2,4,4,5,1,5
Student 417,1,2,4,2,5,4,1,2,3
Student 418,1,2,1,1,2,4,3,1,4
Student 419,2,4,1,1,2,2,3,2,4
Student 420,1,2,2,3,3,5,5,1,3
Student 421,1,3,1,2,3,4,5,2,5
Student 422,1,3,1,2,3,4,5,2,4
Student 423,1,3,3,2,4,5,4,1,5
Student 424,1,3,1,1,4,4,3,1,5
Student 425,1,3,2,1,3,5,3,1,5
Student 426,2,3,1,1,4,4,4,2,3
Student 427,1,3,1,2,4,2,5,2,5
Student 428,1,3,4,2,2,2,5,2,4
Student 429,2,5,2,1,5,5,5,3,5
Student 430,2,3,2,3,5,3,4,2,4
Student 431,2,2,1,2,3,5,5,2,1
Student 432,1,2,1,2,4,5,5,1,4
Student 433,1,2,1,1,3,3,1,2,5
Student 434,1,3,2,1,4,4,4,2,5
Student 435,1,4,4,3,2,5,5,3,4
Student 436,1,2,1,1,3,2,5,2,5
Student 437,2,2,2,1,3,4,5,2,5
Student 438,1,3,2,4,4,3,3,2,5
Student 439,1,3,2,1,3,1,5,1,5
Student 440,1,2,1,1,3,5,5,2,5
Student 441,1,2,1,2,4,5,5,2,5
Student 442,2,2,2,2,2,4,5,2,5
Student 443,1,3,2,2,4,2,5,1,4
Student 444,1,2,2,2,3,4,4,1,5
Student 445,1,4,2,4,2,3,4,3,3
Student 446,1,3,1,1,4,3,5,5,4
Student 447,1,2,2,2,3,4,1,1,3
Student 448,1,3,2,1,3,5,3,1,4
Student 449,1,2,1,1,2,4,5,2,5
Student 450,2,3,2,2,4,2,4,2,5
Student 451,1,3,2,4,2,3,5,2,5
Student 452,1,3,2,1,4,4,5,1,5
Student 453,1,2,1,2,4,5,2,2,4
Student 454,1,3,1,1,3,5,3,3,5
Student 455,1,3,2,3,4,2,5,1,4
Student 456,1,3,2,1,3,4,3,3,5
Student 457,2,3,2,2,1,2,4,2,3
Student 458,1,2,1,3,3,4,3,2,4
Student 459,1,4,1,2,3,4,4,1,4
Student 460,1,2,1,2,3,4,4,1,4
Student 461,2,3,1,1,2,2,1,1,4
Student 462,1,3,1,1,5,5,4,2,5
Student 463,1,2,1,1,3,4,2,1,5
Student 464,1,3,2,3,3,4,3,3,4
Student 465,2,3,1,2,3,4,1,1,2
Student 466,1,5,1,1,3,2,5,2,5
Student 467,2,3,1,1,4,4,5,5,4
Student 468,5,4,5,5,3,3,4,4,5
Student 469,3,1,3,3,2,3,1,1,3
Student 470,2,3,2,2,2,5,5,1,3
Student 471,1,2,1,1,5,4,5,1,5
Student 472,1,5,1,2,4,4,5,2,4
Student 473,2,2,2,2,1,3,2,1,4
Student 474,1,3,2,3,2,2,2,2,3
Student 475,1,2,1,1,3,4,5,1,5
Student 476,1,4,2,2,4,4,1,1,5
Student 477,1,2,1,2,4,5,5,1,5
Student 478,1,2,1,1,4,5,5,1,5
Student 479,1,2,1,1,5,5,5,2,5
Student 480,1,2,1,1,3,4,4,2,4
Student 481,1,2,1,4,2,2,3,2,3
Student 482,1,3,2,2,2,4,3,2,5
Student 483,1,3,1,1,5,5,1,1,5
Student 484,2,2,4,2,2,5,3,3,5
Student 485,1,3,1,1,5,5,5,2,5
Student 486,1,2,4,1,4,4,2,2,5
Student 487,1,2,2,2,5,2,5,1,2
Student 488,1,2,2,1,3,5,2,2,4
Student 489,1,2,1,1,5,5,1,1,5
Student 490,1,2,1,1,5,5,1,1,5
Student 491,1,2,4,2,5,5,2,2,4
Student 492,1,2,2,2,3,5,1,1,3
Student 493,1,1,1,1,5,4,1,2,5
Student 494,1,3,1,1,4,4,1,1,5
Student 495,2,3,2,1,3,3,5,2,4
Student 496,1,1,1,1,5,4,1,1,5
Student 497,1,1,1,1,5,5,1,1,5
Student 498,1,2,2,1,3,4,3,2,5
Student 499,1,4,2,2,3,4,3,2,5
Student 500,1,3,3,1,3,5,4,1,5
Student 501,1,2,1,1,4,4,1,1,4
Student 502,1,2,2,2,5,5,4,1,5
Student 503,1,2,2,2,4,3,3,1,4
Student 504,1,3,2,2,4,5,3,1,5
Student 505,1,2,1,1,5,5,2,1,5
Student 506,2,2,1,1,3,5,5,2,5
Student 507,1,3,1,2,4,5,3,2,5
Student 508,1,2,1,2,3,4,5,1,5
Student 509,1,4,1,3,3,3,2,1,4
Student 510,1,2,5,3,4,4,4,2,5
Student 511,1,3,2,2,3,2,3,3,3
Student 512,1,2,4,2,3,4,5,2,5
Student 513,1,3,2,2,3,4,2,1,4
Student 514,2,3,3,4,4,5,3,1,4
Student 515,1,2,5,1,4,4,1,1,3
Student 516,1,2,1,1,3,5,5,3,5
Student 517,1,3,1,1,4,4,2,2,5
Student 518,1,3,1,1,3,4,1,1,5
Student 519,1,3,5,2,3,4,5,1,4
Student 520,1,3,1,2,2,4,1,1,2
Student 521,1,2,1,2,4,2,5,5,3
Student 522,1,2,1,1,4,4,5,1,5
Student 523,2,3,2,2,5,3,4,1,5
Student 524,1,2,1,1,1,5,1,1,5
Student 525,1,3,2,2,3,3,5,2,5
Student 526,3,3,2,4,4,5,5,1,5
Student 527,1,3,1,1,4,3,5,2,5
Student 528,1,3,1,2,4,2,3,1,5
Student 529,1,2,2,2,4,3,5,1,5
Student 530,2,4,1,1,3,5,4,1,4
Student 531,2,4,1,2,1,3,2,3,4
Student 532,1,3,2,1,2,5,4,2,3
Student 533,1,1,1,2,5,5,2,1,4
Student 534,3,3,1,1,4,4,2,2,4
Student 535,1,2,1,1,3,5,3,1,4
Student 536,1,3,4,2,3,2,5,1,4
Student 537,1,3,1,3,3,5,5,2,2
Student 538,1,3,2,2,3,4,4,3,4
Student 539,1,4,1,2,5,4,1,1,5
Student 540,1,3,2,3,3,4,5,1,5
Student 541,1,3,2,2,4,2,5,5,5
Student 542,1,3,2,2,2,5,5,2,5
Student 543,1,2,4,1,3,4,5,3,4
Student 544,1,4,2,3,4,5,1,1,4
Student 545,1,4,1,1,5,1,5,1,5
Student 546,1,3,3,3,4,4,4,1,4
Student 547,1,2,1,2,3,3,2,2,5
Student 548,1,2,3,2,5,4,3,2,4
Student 549,1,2,1,2,3,4,4,1,5
Student 550,1,2,1,1,4,3,4,1,5
Student 551,1,2,2,2,3,4,5,4,4
Student 552,1,2,1,2,3,4,4,1,4
Student 553,1,2,1,1,4,4,2,1,5
Student 554,3,5,3,1,4,5,4,5,5
Student 555,1,3,3,4,4,3,5,2,3
Student 556,1,3,2,2,4,5,4,2,5
Student 557,1,2,2,3,5,4,1,1,4
Student 558,1,5,2,3,2,2,5,2,5
Student 559,1,3,2,2,4,5,2,2,5
Student 560,2,3,2,1,2,4,5,3,5
Student 561,1,2,3,4,3,4,4,2,5
Student 562,1,2,4,1,4,5,3,1,4
Student 563,1,3,1,1,4,4,2,1,2
Student 564,1,4,2,1,3,3,5,5,5
Student 565,1,3,2,2,5,4,3,2,3
Student 566,2,2,2,1,5,5,1,1,5
Student 567,1,3,4,4,2,4,4,2,5
Student 568,1,3,2,1,4,5,5,2,4
Student 569,1,2,1,2,4,5,5,1,5
Student 570,1,2,1,2,3,2,5,4,2
Student 571,1,3,5,4,3,2,4,2,4
Student 572,1,2,3,2,4,3,4,1,5
Student 573,1,1,1,2,4,5,1,1,5
Student 574,1,2,3,2,5,4,2,2,4
Student 575,1,4,2,1,3,2,5,2,4
Student 576,1,2,1,2,5,3,5,2,5
Student 577,1,3,1,2,3,4,4,1,4
Student 578,1,3,2,2,4,4,5,2,4
Student 579,1,3,1,2,3,3,1,2,5
Student 580,1,2,1,1,3,3,2,2,5
Student 581,1,3,3,1,3,5,2,3,5
Student 582,1,2,2,1,3,3,4,2,4
Student 583,1,4,4,2,4,4,2,1,4
Student 584,1,2,2,2,5,5,4,1,4
Student 585,1,2,1,2,5,4,1,2,4
Student 586,1,5,2,1,3,5,1,1,5
Student 587,1,2,2,2,2,2,5,2,4
Student 588,1,3,1,1,3,5,5,1,3
Student 589,1,2,1,1,5,4,5,3,4
Student 590,1,2,1,1,3,4,3,1,4
Student 591,1,3,4,2,4,5,2,1,5
Student 592,1,2,1,4,4,1,4,1,4
Student 593,2,3,1,2,4,2,5,5,4
Student 594,1,3,5,2,3,2,5,1,5
Student 595,2,2,1,2,5,4,1,1,5
Student 596,1,3,1,1,5,5,5,5,4
Student 597,1,2,2,2,3,5,2,2,5
Student 598,1,2,1,1,5,5,1,1,5
Student 599,1,3,1,1,3,3,4,1,5
Student 600,1,3,1,1,3,3,5,2,4
Student 601,1,2,2,2,4,4,2,1,2
Student 602,1,2,2,2,5,5,2,2,5
Student 603,1,3,1,1,4,3,5,1,4
Student 604,1,3,1,4,3,4,4,1,5
Student 605,1,2,2,3,2,4,2,1,5
Student 606,1,2,1,1,2,4,5,5,3
Student 607,1,3,1,2,4,2,5,2,4
Student 608,1,3,4,3,3,2,5,1,4
Student 609,1,1,3,3,5,3,1,1,5
Student 610,2,2,2,1,3,5,3,3,5
Student 611,1,2,2,2,4,3,4,1,4
Student 612,1,4,2,4,3,2,5,2,4
Student 613,1,3,2,2,3,4,5,1,4
Student 614,1,2,3,3,3,2,5,1,4
Student 615,1,2,1,1,4,4,2,5,4
Student 616,1,3,2,2,4,2,3,3,5
Student 617,1,2,3,2,3,3,2,1,4
Student 618,3,3,2,1,3,4,3,4,5
Student 619,1,2,1,1,4,5,1,1,5
Student 620,1,2,1,2,4,5,4,1,5
Student 621,1,2,3,1,3,5,1,1,5
Student 622,1,3,2,1,3,4,3,1,3
Student 623,1,3,4,2,2,4,3,1,4
Student 624,1,4,3,2,3,4,3,2,4
Student 625,1,3,2,2,2,3,5,3,5
Student 626,1,2,2,3,5,4,4,1,5
Student 627,2,3,2,2,2,2,1,3,4
Student 628,1,4,2,2,3,2,5,1,4
Student 629,1,2,2,2,4,4,5,2,5
Student 630,3,2,3,2,3,4,3,1,4
Student 631,1,2,1,2,5,5,4,1,2
Student 632,2,3,1,2,2,4,5,2,5
Student 633,1,2,2,2,3,3,5,5,3
Student 634,1,3,2,1,4,5,2,2,4
Student 635,1,2,1,1,4,3,4,1,2
Student 636,2,2,1,2,4,4,3,2,4
Student 637,1,1,2,1,5,5,1,1,5
Student 638,2,3,4,1,2,4,5,3,5
Student 639,1,3,3,2,3,4,1,1,2
Student 640,1,4,1,5,3,2,3,1,5
Student 641,1,3,4,2,4,5,3,1,5
Student 642,1,3,2,1,3,5,5,2,3
Student 643,1,3,2,2,2,4,5,1,4
Student 644,1,3,3,5,5,4,5,1,5
Student 645,1,3,1,1,4,5,5,1,5
Student 646,5,3,3,4,5,5,1,1,5
Student 647,1,3,2,3,4,2,5,1,4
Student 648,2,3,1,2,4,2,5,5,5
Student 649,1,2,1,3,3,2,5,1,3
Student 650,1,2,2,3,2,4,5,2,4
Student 651,1,2,2,2,4,4,2,2,5
Student 652,1,3,4,2,1,1,4,1,1
Student 653,1,3,1,1,4,5,2,4,2
Student 654,1,2,1,2,4,5,5,1,5
Student 655,1,2,1,1,2,5,2,2,5
Student 656,1,3,2,1,4,4,3,1,4
Student 657,1,4,1,1,3,3,2,2,4
Student 658,1,2,1,1,4,3,5,1,3
Student 659,2,3,2,2,4,5,3,1,5
Student 660,1,2,1,1,5,5,1,1,5
Student 661,1,2,1,1,4,5,3,1,5
Student 662,1,3,1,2,4,5,2,2,5
Student 663,1,2,3,2,4,4,2,3,5
Student 664,1,2,2,1,3,5,3,1,5
