Student ID,Location Leakage,Time Spent,Password Security,Enable Security,Sharing Location,Accept Unknown,Number of Friends,Number of Groups,Click on Unknown Link
Student 332,4,2,3,2,4,4,2,2,4
Student 333,3,3,2,1,3,5,4,1,5
Student 334,2,3,1,1,4,4,4,2,5
Student 335,5,3,1,2,4,3,5,1,2
Student 336,5,2,4,1,5,4,2,1,5
Student 337,4,3,2,2,3,4,5,2,5
Student 338,3,2,1,1,5,4,3,2,3
Student 339,3,3,2,1,3,5,5,2,3
Student 340,5,3,2,1,4,5,3,1,5
Student 341,4,2,2,1,4,5,2,1,2
Student 342,5,2,1,1,4,5,2,1,5
Student 343,2,2,1,3,3,3,2,1,5
Student 344,3,3,1,2,3,5,5,2,4
Student 345,4,2,1,1,5,5,1,1,5
Student 346,4,2,1,2,3,4,3,2,5
Student 347,5,2,2,1,5,5,2,1,4
Student 348,5,2,3,3,5,5,2,1,5
Student 349,4,3,3,1,4,3,2,1,5
Student 350,5,2,1,1,5,5,1,1,3
Student 351,3,2,1,1,4,5,3,2,5
Student 352,4,5,2,2,4,4,5,5,4
Student 353,5,2,1,1,5,4,1,2,5
Student 354,4,2,3,3,4,2,5,1,5
Student 355,4,3,2,2,4,1,5,2,5
Student 356,4,3,1,1,3,4,5,3,5
Student 357,4,3,2,2,4,3,5,2,4
Student 358,3,3,3,2,3,5,5,2,4
Student 359,5,3,2,2,3,4,5,1,5
Student 360,3,2,2,2,3,3,2,2,4
Student 361,5,2,2,1,5,4,5,3,5
Student 362,3,2,2,2,2,3,5,1,4
Student 363,4,3,4,2,4,3,5,5,4
Student 364,4,2,2,1,4,4,5,3,4
Student 365,4,2,1,2,4,3,4,1,5
Student 366,2,3,2,2,4,5,3,3,4
Student 367,3,3,2,3,2,3,2,1,4
Student 368,4,2,2,2,4,4,4,5,5
Student 369,3,4,2,2,1,4,5,1,5
Student 370,3,2,2,2,4,3,4,1,3
Student 371,4,2,1,1,4,5,5,3,5
Student 372,4,2,2,2,4,4,3,1,5
Student 373,4,2,1,3,2,3,2,1,4
Student 374,4,2,3,2,4,5,1,1,5
Student 375,3,3,2,2,4,5,1,4,4
Student 376,5,1,4,1,5,5,1,1,5
Student 377,5,2,3,2,5,5,1,1,5
Student 378,4,3,2,2,4,3,5,3,5
Student 379,4,3,3,2,4,4,3,3,4
Student 380,4,3,2,3,4,4,4,2,5
Student 381,4,2,1,1,3,3,1,2,5
Student 382,2,4,1,1,1,5,2,1,5
Student 383,5,4,1,1,4,3,5,2,4
Student 384,5,3,2,5,1,5,2,1,5
Student 385,4,2,4,1,5,5,5,2,4
Student 386,5,2,2,1,5,5,2,1,5
Student 387,3,3,2,3,3,4,4,3,3
Student 388,4,2,2,2,4,5,4,2,5
Student 389,4,3,2,4,2,2,2,1,4
Student 390,4,2,2,2,4,4,5,5,4
Student 391,2,4,2,4,3,4,5,2,4
Student 392,4,3,1,2,4,3,4,2,5
Student 393,4,2,1,1,3,3,5,3,4
Student 394,5,3,1,1,5,5,2,1,5
Student 395,4,3,1,1,4,3,5,2,4
Student 396,3,3,4,1,3,2,5,2,5
Student 397,4,3,2,1,3,3,3,1,5
Student 398,2,3,1,2,3,5,4,2,5
Student 399,2,3,1,1,4,5,4,3,4
Student 400,4,5,1,1,5,3,5,1,3
Student 401,3,2,2,1,3,5,2,1,5
Student 402,1,3,3,1,1,4,5,2,5
Student 403,4,3,1,1,3,4,5,2,5
Student 404,4,3,2,1,4,4,1,2,5
Student 405,4,3,1,2,4,3,3,2,4
Student 406,4,2,3,1,4,3,5,1,4
Student 407,2,2,2,2,2,5,1,1,5
Student 408,3,3,4,1,3,4,5,2,3
Student 409,4,3,2,2,3,3,5,3,4
Student 410,4,2,4,1,4,4,2,1,5
Student 411,4,3,2,1,4,4,1,1,5
Student 412,4,3,2,2,4,4,5,2,4
Student 413,4,2,2,2,4,5,5,2,5
Student 414,3,3,2,1,4,4,4,2,5
Student 415,5,2,3,2,4,3,2,1,5
Student 416,3,2,3,2,4,4,5,1,5
Student 417,4,2,4,2,5,4,1,2,3
Student 418,4,2,1,1,2,4,3,1,4
Student 419,1,4,1,1,2,2,3,2,4
Student 420,3,2,2,3,3,5,5,1,3
Student 421,3,3,1,2,3,4,5,2,5
Student 422,3,3,1,2,3,4,5,2,4
Student 423,4,3,3,2,4,5,4,1,5
Student 424,4,3,1,1,4,4,3,1,5
Student 425,4,3,2,1,3,5,3,1,5
Student 426,4,3,1,1,4,4,4,2,3
Student 427,5,3,1,2,4,2,5,2,5
Student 428,2,3,4,2,2,2,5,2,4
Student 429,4,5,2,1,5,5,5,3,5
Student 430,3,3,2,3,5,3,4,2,4
Student 431,3,2,1,2,3,5,5,2,1
Student 432,4,2,1,2,4,5,5,1,4
Student 433,4,2,1,1,3,3,1,2,5
Student 434,4,3,2,1,4,4,4,2,5
Student 435,2,4,4,3,2,5,5,3,4
Student 436,3,2,1,1,3,2,5,2,5
Student 437,4,2,2,1,3,4,5,2,5
Student 438,4,3,2,4,4,3,3,2,5
Student 439,2,3,2,1,3,1,5,1,5
Student 440,4,2,1,1,3,5,5,2,5
Student 441,4,2,1,2,4,5,5,2,5
Student 442,5,2,2,2,2,4,5,2,5
Student 443,4,3,2,2,4,2,5,1,4
Student 444,3,2,2,2,3,4,4,1,5
Student 445,3,4,2,4,2,3,4,3,3
Student 446,2,3,1,1,4,3,5,5,4
Student 447,4,2,2,2,3,4,1,1,3
Student 448,3,3,2,1,3,5,3,1,4
Student 449,3,2,1,1,2,4,5,2,5
Student 450,4,3,2,2,4,2,4,2,5
Student 451,3,3,2,4,2,3,5,2,5
Student 452,5,3,2,1,4,4,5,1,5
Student 453,3,2,1,2,4,5,2,2,4
Student 454,2,3,1,1,3,5,3,3,5
Student 455,4,3,2,3,4,2,5,1,4
Student 456,4,3,2,1,3,4,3,3,5
Student 457,3,3,2,2,1,2,4,2,3
Student 458,2,2,1,3,3,4,3,2,4
Student 459,4,4,1,2,3,4,4,1,4
Student 460,3,2,1,2,3,4,4,1,4
Student 461,2,3,1,1,2,2,1,1,4
Student 462,4,3,1,1,5,5,4,2,5
Student 463,4,2,1,1,3,4,2,1,5
Student 464,5,3,2,3,3,4,3,3,4
Student 465,2,3,1,2,3,4,1,1,2
Student 466,2,5,1,1,3,2,5,2,5
Student 467,4,3,1,1,4,4,5,5,4
Student 468,5,4,5,5,3,3,4,4,5
Student 469,3,1,3,3,2,3,1,1,3
Student 470,3,3,2,2,2,5,5,1,3
Student 471,4,2,1,1,5,4,5,1,5
Student 472,3,5,1,2,4,4,5,2,4
Student 473,5,2,2,2,1,3,2,1,4
Student 474,3,3,2,3,2,2,2,2,3
Student 475,3,2,1,1,3,4,5,1,5
Student 476,4,4,2,2,4,4,1,1,5
Student 477,4,2,1,2,4,5,5,1,5
Student 478,4,2,1,1,4,5,5,1,5
Student 479,4,2,1,1,5,5,5,2,5
Student 480,3,2,1,1,3,4,4,2,4
Student 481,2,2,1,4,2,2,3,2,3
Student 482,3,3,2,2,2,4,3,2,5
Student 483,5,3,1,1,5,5,1,1,5
Student 484,2,2,4,2,2,5,3,3,5
Student 485,4,3,1,1,5,5,5,2,5
Student 486,4,2,4,1,4,4,2,2,5
Student 487,4,2,2,2,5,2,5,1,2
Student 488,3,2,2,1,3,5,2,2,4
Student 489,3,2,1,1,5,5,1,1,5
Student 490,5,2,1,1,5,5,1,1,5
Student 491,5,2,4,2,5,5,2,2,4
Student 492,4,2,2,2,3,5,1,1,3
Student 493,5,1,1,1,5,4,1,2,5
Student 494,4,3,1,1,4,4,1,1,5
Student 495,4,3,2,1,3,3,5,2,4
Student 496,5,1,1,1,5,4,1,1,5
Student 497,5,1,1,1,5,5,1,1,5
Student 498,3,2,2,1,3,4,3,2,5
Student 499,3,4,2,2,3,4,3,2,5
Student 500,4,3,3,1,3,5,4,1,5
Student 501,1,2,1,1,4,4,1,1,4
Student 502,5,2,2,2,5,5,4,1,5
Student 503,4,2,2,2,4,3,3,1,4
Student 504,3,3,2,2,4,5,3,1,5
Student 505,4,2,1,1,5,5,2,1,5
Student 506,3,2,1,1,3,5,5,2,5
Student 507,4,3,1,2,4,5,3,2,5
Student 508,3,2,1,2,3,4,5,1,5
Student 509,3,4,1,3,3,3,2,1,4
Student 510,4,2,5,3,4,4,4,2,5
Student 511,3,3,2,2,3,2,3,3,3
Student 512,3,2,4,2,3,4,5,2,5
Student 513,3,3,2,2,3,4,2,1,4
Student 514,5,3,3,4,4,5,3,1,4
Student 515,4,2,5,1,4,4,1,1,3
Student 516,3,2,1,1,3,5,5,3,5
Student 517,4,3,1,1,4,4,2,2,5
Student 518,4,3,1,1,3,4,1,1,5
Student 519,2,3,5,2,3,4,5,1,4
Student 520,4,3,1,2,2,4,1,1,2
Student 521,4,2,1,2,4,2,5,5,3
Student 522,3,2,1,1,4,4,5,1,5
Student 523,4,3,2,2,5,3,4,1,5
Student 524,1,2,1,1,1,5,1,1,5
Student 525,3,3,2,2,3,3,5,2,5
Student 526,3,3,2,4,4,5,5,1,5
Student 527,4,3,1,1,4,3,5,2,5
Student 528,3,3,1,2,4,2,3,1,5
Student 529,3,2,2,2,4,3,5,1,5
Student 530,2,4,1,1,3,5,4,1,4
Student 531,3,4,1,2,1,3,2,3,4
Student 532,3,3,2,1,2,5,4,2,3
Student 533,4,1,1,2,5,5,2,1,4
Student 534,5,3,1,1,4,4,2,2,4
Student 535,3,2,1,1,3,5,3,1,4
Student 536,3,3,4,2,3,2,5,1,4
Student 537,3,3,1,3,3,5,5,2,2
Student 538,3,3,2,2,3,4,4,3,4
Student 539,5,4,1,2,5,4,1,1,5
Student 540,3,3,2,3,3,4,5,1,5
Student 541,4,3,2,2,4,2,5,5,5
Student 542,3,3,2,2,2,5,5,2,5
Student 543,3,2,4,1,3,4,5,3,4
Student 544,4,4,2,3,4,5,1,1,4
Student 545,4,4,1,1,5,1,5,1,5
Student 546,4,3,3,3,4,4,4,1,4
Student 547,3,2,1,2,3,3,2,2,5
Student 548,5,2,3,2,5,4,3,2,4
Student 549,3,2,1,2,3,4,4,1,5
Student 550,2,2,1,1,4,3,4,1,5
Student 551,4,2,2,2,3,4,5,4,4
Student 552,4,2,1,2,3,4,4,1,4
Student 553,4,2,1,1,4,4,2,1,5
Student 554,5,5,3,1,4,5,4,5,5
Student 555,4,3,3,4,4,3,5,2,3
Student 556,4,3,2,2,4,5,4,2,5
Student 557,4,2,2,3,5,4,1,1,4
Student 558,2,5,2,3,2,2,5,2,5
Student 559,4,3,2,2,4,5,2,2,5
Student 560,2,3,2,1,2,4,5,3,5
Student 561,3,2,3,4,3,4,4,2,5
Student 562,4,2,4,1,4,5,3,1,4
Student 563,4,3,1,1,4,4,2,1,2
Student 564,4,4,2,1,3,3,5,5,5
Student 565,3,3,2,2,5,4,3,2,3
Student 566,5,2,2,1,5,5,1,1,5
Student 567,2,3,4,4,2,4,4,2,5
Student 568,4,3,2,1,4,5,5,2,4
Student 569,4,2,1,2,4,5,5,1,5
Student 570,3,2,1,2,3,2,5,4,2
Student 571,2,3,5,4,3,2,4,2,4
Student 572,3,2,3,2,4,3,4,1,5
Student 573,4,1,1,2,4,5,1,1,5
Student 574,3,2,3,2,5,4,2,2,4
Student 575,3,4,2,1,3,2,5,2,4
Student 576,5,2,1,2,5,3,5,2,5
Student 577,4,3,1,2,3,4,4,1,4
Student 578,3,3,2,2,4,4,5,2,4
Student 579,4,3,1,2,3,3,1,2,5
Student 580,3,2,1,1,3,3,2,2,5
Student 581,4,3,3,1,3,5,2,3,5
Student 582,4,2,2,1,3,3,4,2,4
Student 583,4,4,4,2,4,4,2,1,4
Student 584,3,2,2,2,5,5,4,1,4
Student 585,3,2,1,2,5,4,1,2,4
Student 586,3,5,2,1,3,5,1,1,5
Student 587,4,2,2,2,2,2,5,2,4
Student 588,3,3,1,1,3,5,5,1,3
Student 589,5,2,1,1,5,4,5,3,4
Student 590,3,2,1,1,3,4,3,1,4
Student 591,5,3,4,2,4,5,2,1,5
Student 592,3,2,1,4,4,1,4,1,4
Student 593,4,3,1,2,4,2,5,5,4
Student 594,4,3,5,2,3,2,5,1,5
Student 595,3,2,1,2,5,4,1,1,5
Student 596,3,3,1,1,5,5,5,5,4
Student 597,5,2,2,2,3,5,2,2,5
Student 598,4,2,1,1,5,5,1,1,5
Student 599,4,3,1,1,3,3,4,1,5
Student 600,3,3,1,1,3,3,5,2,4
Student 601,3,2,2,2,4,4,2,1,2
Student 602,3,2,2,2,5,5,2,2,5
Student 603,4,3,1,1,4,3,5,1,4
Student 604,3,3,1,4,3,4,4,1,5
Student 605,5,2,2,3,2,4,2,1,5
Student 606,2,2,1,1,2,4,5,5,3
Student 607,4,3,1,2,4,2,5,2,4
Student 608,4,3,4,3,3,2,5,1,4
Student 609,5,1,3,3,5,3,1,1,5
Student 610,3,2,2,1,3,5,3,3,5
Student 611,2,2,2,2,4,3,4,1,4
Student 612,2,4,2,4,3,2,5,2,4
Student 613,3,3,2,2,3,4,5,1,4
Student 614,4,2,3,3,3,2,5,1,4
Student 615,4,2,1,1,4,4,2,5,4
Student 616,4,3,2,2,4,2,3,3,5
Student 617,4,2,3,2,3,3,2,1,4
Student 618,2,3,2,1,3,4,3,4,5
Student 619,4,2,1,1,4,5,1,1,5
Student 620,5,2,1,2,4,5,4,1,5
Student 621,4,2,3,1,3,5,1,1,5
Student 622,3,3,2,1,3,4,3,1,3
Student 623,4,3,4,2,2,4,3,1,4
Student 624,2,4,3,2,3,4,3,2,4
Student 625,2,3,2,2,2,3,5,3,5
Student 626,5,2,2,3,5,4,4,1,5
Student 627,2,3,2,2,2,2,1,3,4
Student 628,4,4,2,2,3,2,5,1,4
Student 629,3,2,2,2,4,4,5,2,5
Student 630,4,2,3,2,3,4,3,1,4
Student 631,4,2,1,2,5,5,4,1,2
Student 632,4,3,1,2,2,4,5,2,5
Student 633,3,2,2,2,3,3,5,5,3
Student 634,4,3,2,1,4,5,2,2,4
Student 635,4,2,1,1,4,3,4,1,2
Student 636,4,2,1,2,4,4,3,2,4
Student 637,5,1,2,1,5,5,1,1,5
Student 638,2,3,4,1,2,4,5,3,5
Student 639,3,3,3,2,3,4,1,1,2
Student 640,2,4,1,5,3,2,3,1,5
Student 641,3,3,4,2,4,5,3,1,5
Student 642,4,3,2,1,3,5,5,2,3
Student 643,4,3,2,2,2,4,5,1,4
Student 644,4,3,3,5,5,4,5,1,5
Student 645,4,3,1,1,4,5,5,1,5
Student 646,5,3,3,4,5,5,1,1,5
Student 647,4,3,2,3,4,2,5,1,4
Student 648,4,3,1,2,4,2,5,5,5
Student 649,4,2,1,3,3,2,5,1,3
Student 650,3,2,2,3,2,4,5,2,4
Student 651,4,2,2,2,4,4,2,2,5
Student 652,4,3,4,2,1,1,4,1,1
Student 653,4,3,1,1,4,5,2,4,2
Student 654,3,2,1,2,4,5,5,1,5
Student 655,3,2,1,1,2,5,2,2,5
Student 656,4,3,2,1,4,4,3,1,4
Student 657,4,4,1,1,3,3,2,2,4
Student 658,3,2,1,1,4,3,5,1,3
Student 659,3,3,2,2,4,5,3,1,5
Student 660,5,2,1,1,5,5,1,1,5
Student 661,3,2,1,1,4,5,3,1,5
Student 662,5,3,1,2,4,5,2,2,5
Student 663,4,2,3,2,4,4,2,3,5
Student 664,3,2,2,1,3,5,3,1,5